"title","subtitle","location"
"""Neue Wege für Frauen"" in der Grundversorgung","","Linz"
"24h Betreuung","24-Stunden-Betreuung","Bezirke: Oberösterreich, Niederösterreich"
"4Raum Graz","Familienberatung / Sozialberatung / Alltagsbegleitung","Graz"
"Akademie de La Tour","Bildungsangebote / Weiterbildungsakademien","Feldkirchen"
"Akutpflegebegleitung","Kurzzeitpflege / Mobile Beratung / Mobile Betreuung und Pflege im Alter / Mobile Dienste / Angehörigen-Entlastung / Alltagsbegleitung","Bezirke: Linz-Urfahr"
"Alkoholambulanz de La Tour Spittal/Drau","Beratung / Psychologische Begleitung / Psychotherapie / Psychosoziale Beratung / Sozialberatung / Jugendberatung / Ambulanz / Sucht / Therapie","Spittal/Drau"
"Allfred - Servicedienstleistung","Alltagsbegleitung","Linz"
"Altkatholische Diakonie Austria","Integrationsarbeit / Katastrophenhilfe / Trauerhilfe / Wohnungslosenhilfe","Wien"
"ALVENI - Mobil betreutes Wohnen","Integrationsarbeit / Arbeitsmarktberatung / Wohnberatung","Wien"
"AmberMed","Ambulanz","Bezirke: Ganz Österreich"
"Ambulanz de La Tour","Beratung / Psychologische Begleitung / Psychotherapie / Psychosoziale Beratung / Sozialberatung / Jugendberatung / Ambulanz / Sucht / Therapie","Villach"
"AMIKE - Telefon","Sozialmedizinische Beratung","Bezirke: Ganz Österreich"
"ANKYRA - Zentrum für interkulturelle Psychotherapie in Tirol","Psychotherapie","Innsbruck"
"Arbeit und Assistenz Ennstal","Werkstätten","Schladming"
"Arbeit und Assistenz Graz","Werkstätten","Graz"
"ASH Forum der Zivilgesellschaft","","Wien"
"Assistenz in der Nachmittagsbetreuung","Schulassistenz","Linz"
"Atelier de La Tour","Kunst / Werkstätten","Treffen"
"AUFSCHWUNG Wien","Berufsvorbereitung / Integrationsarbeit / Arbeitsmarktberatung","Wien"
"BACH Bildungszentrum","Beratung / Bildungsangebote / Bildungsberatung / Deutschkurse / Pflichtschulabschlusskurse / Integrationsarbeit / Abschlusskurse für Jugendliche","Mödling"
"Bandari","Beratung / Freizeit-, Sport- und Kulturangebote / Integrationsarbeit / Jugendberatung","Wien"
"Banonda - Integration und Dialog","Integrationsarbeit / Stadtteilarbeit","Salzburg"
"Basis Zinnergasse Gemeinwesenorientiertes Integrationsbüro","Lernbegleitung / Quartiersarbeit / Rechtsberatung / Sozialberatung / Integrationsarbeit / Stadtteilarbeit","Wien"
"Basis_Bildung_Macondo","Bildungsangebote","Wien"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Linz"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Neuhofen an der Krems"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Kirchdorf"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Gmunden"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Attnang-Puchheim"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Ried im Innkreis"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Wels"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Windischgarsten"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Eferding"
"Begegnungsgruppen für Alkoholkranke und Angehörige","Sucht","Steyr"
"Begleitet Wohnen Wels","","Wels"
"Beratung MiAS","Beratung","Klagenfurt"
"Beratungsstelle für Alkoholkranke und Angehörige","Sucht","Wels"
"Beratungszentrum Ukraine","Beratung / Deutschkurse / Freizeit-, Sport- und Kulturangebote / Psychosoziale Beratung / Sozialberatung / Integrationsarbeit / Sozialmedizinische Beratung / Arbeitsmarktberatung / Wohnberatung","Wien"
"Besuchsdienst Salzburg","Besuchsdienst","Salzburg"
"Betreubares Wohnen Neukirchen an der Enknach","Betreutes Wohnen","Neukirchen"
"Betreutes Wohnen Bad Hall","Betreutes Wohnen","Bad Hall"
"Betreutes Wohnen Bildungscampus Salzburg-Gnigl","Betreutes Wohnen / Quartiersarbeit / Wohnkoordination / Wohnquartier","Salzburg"
"Betreutes Wohnen Haus Radauer","Betreutes Wohnen","Salzburg"
"Betreutes Wohnen im Haus Abendfrieden","Betreutes Wohnen","Gallneukirchen"
"Betreutes Wohnen im Haus Bethanien","Betreutes Wohnen","Gallneukirchen"
